n=1000, k=96, y=2, x=3%
n=1000, k=192, y=2, x=3%
n=1000, k=384, y=2, x=3%
n=2000, k=96, y=2, x=3%
n=2000, k=192, y=2, x=3%
n=2000, k=384, y=2, x=3%
n=3000, k=96, y=2, x=3%
n=3000, k=192, y=2, x=3%
n=3000, k=384, y=2, x=3%
n=4000, k=96, y=2, x=3%
n=4000, k=192, y=2, x=3%
n=4000, k=384, y=2, x=3%
n=5000, k=96, y=2, x=3%
n=5000, k=192, y=2, x=3%
n=5000, k=384, y=2, x=3%
n=1000, k=96, y=2, x=4%
n=1000, k=192, y=2, x=4%
n=1000, k=384, y=2, x=4%
n=2000, k=96, y=2, x=4%
n=2000, k=192, y=2, x=4%
n=2000, k=384, y=2, x=4%
n=3000, k=96, y=2, x=4%
n=3000, k=192, y=2, x=4%
n=3000, k=384, y=2, x=4%
n=4000, k=96, y=2, x=4%
n=4000, k=192, y=2, x=4%
n=4000, k=384, y=2, x=4%
n=5000, k=96, y=2, x=4%
n=5000, k=192, y=2, x=4%
n=5000, k=384, y=2, x=4%
n=1000, k=96, y=3, x=2%
n=1000, k=192, y=3, x=2%
n=1000, k=384, y=3, x=2%
n=2000, k=96, y=3, x=2%
n=2000, k=192, y=3, x=2%
n=2000, k=384, y=3, x=2%
n=3000, k=96, y=3, x=2%
n=3000, k=192, y=3, x=2%
n=3000, k=384, y=3, x=2%
n=4000, k=96, y=3, x=2%
n=4000, k=192, y=3, x=2%
n=4000, k=384, y=3, x=2%
n=5000, k=96, y=3, x=2%
n=5000, k=192, y=3, x=2%
n=5000, k=384, y=3, x=2%
n=1000, k=96, y=3, x=3%
n=1000, k=192, y=3, x=3%
n=1000, k=384, y=3, x=3%
n=2000, k=96, y=3, x=3%
n=2000, k=192, y=3, x=3%
n=2000, k=384, y=3, x=3%
n=3000, k=96, y=3, x=3%
n=3000, k=192, y=3, x=3%
n=3000, k=384, y=3, x=3%
n=4000, k=96, y=3, x=3%
n=4000, k=192, y=3, x=3%
n=4000, k=384, y=3, x=3%
n=5000, k=96, y=3, x=3%
n=5000, k=192, y=3, x=3%
n=5000, k=384, y=3, x=3%
n=1000, k=96, y=4, x=2%
n=1000, k=192, y=4, x=2%
n=1000, k=384, y=4, x=2%
n=2000, k=96, y=4, x=2%
n=2000, k=192, y=4, x=2%
n=2000, k=384, y=4, x=2%
n=3000, k=96, y=4, x=2%
n=3000, k=192, y=4, x=2%
n=3000, k=384, y=4, x=2%
n=4000, k=96, y=4, x=2%
n=4000, k=192, y=4, x=2%
n=4000, k=384, y=4, x=2%
n=5000, k=96, y=4, x=2%
n=5000, k=192, y=4, x=2%
n=5000, k=384, y=4, x=2%
