n=1000, k=96, y=2, x=3, tma_backend_bound=84.0%
n=1000, k=192, y=2, x=3, tma_backend_bound=84.3%
n=1000, k=384, y=2, x=3, tma_backend_bound=80.6%
n=2000, k=96, y=2, x=3, tma_backend_bound=75.4%
n=2000, k=192, y=2, x=3, tma_backend_bound=75.4%
n=2000, k=384, y=2, x=3, tma_backend_bound=66.2%
n=3000, k=96, y=2, x=3, tma_backend_bound=70.7%
n=3000, k=192, y=2, x=3, tma_backend_bound=62.3%
n=3000, k=384, y=2, x=3, tma_backend_bound=52.9%
n=4000, k=96, y=2, x=3, tma_backend_bound=66.2%
n=4000, k=192, y=2, x=3, tma_backend_bound=56.9%
n=4000, k=384, y=2, x=3, tma_backend_bound=47.3%
n=5000, k=96, y=2, x=3, tma_backend_bound=58.8%
n=5000, k=192, y=2, x=3, tma_backend_bound=53.2%
n=5000, k=384, y=2, x=3, tma_backend_bound=42.7%
n=1000, k=96, y=2, x=4, tma_backend_bound=83.4%
n=1000, k=192, y=2, x=4, tma_backend_bound=81.1%
n=1000, k=384, y=2, x=4, tma_backend_bound=81.1%
n=2000, k=96, y=2, x=4, tma_backend_bound=75.8%
n=2000, k=192, y=2, x=4, tma_backend_bound=73.1%
n=2000, k=384, y=2, x=4, tma_backend_bound=66.9%
n=3000, k=96, y=2, x=4, tma_backend_bound=70.9%
n=3000, k=192, y=2, x=4, tma_backend_bound=67.0%
n=3000, k=384, y=2, x=4, tma_backend_bound=56.5%
n=4000, k=96, y=2, x=4, tma_backend_bound=67.2%
n=4000, k=192, y=2, x=4, tma_backend_bound=60.3%
n=4000, k=384, y=2, x=4, tma_backend_bound=49.9%
n=5000, k=96, y=2, x=4, tma_backend_bound=61.0%
n=5000, k=192, y=2, x=4, tma_backend_bound=52.5%
n=5000, k=384, y=2, x=4, tma_backend_bound=44.3%
n=1000, k=96, y=3, x=2, tma_backend_bound=83.1%
n=1000, k=192, y=3, x=2, tma_backend_bound=84.6%
n=1000, k=384, y=3, x=2, tma_backend_bound=76.5%
n=2000, k=96, y=3, x=2, tma_backend_bound=76.9%
n=2000, k=192, y=3, x=2, tma_backend_bound=72.5%
n=2000, k=384, y=3, x=2, tma_backend_bound=71.9%
n=3000, k=96, y=3, x=2, tma_backend_bound=68.6%
n=3000, k=192, y=3, x=2, tma_backend_bound=61.8%
n=3000, k=384, y=3, x=2, tma_backend_bound=59.1%
n=4000, k=96, y=3, x=2, tma_backend_bound=65.9%
n=4000, k=192, y=3, x=2, tma_backend_bound=56.8%
n=4000, k=384, y=3, x=2, tma_backend_bound=46.6%
n=5000, k=96, y=3, x=2, tma_backend_bound=60.8%
n=5000, k=192, y=3, x=2, tma_backend_bound=48.8%
n=5000, k=384, y=3, x=2, tma_backend_bound=38.2%
n=1000, k=96, y=3, x=3, tma_backend_bound=83.4%
n=1000, k=192, y=3, x=3, tma_backend_bound=81.3%
n=1000, k=384, y=3, x=3, tma_backend_bound=78.5%
n=2000, k=96, y=3, x=3, tma_backend_bound=76.4%
n=2000, k=192, y=3, x=3, tma_backend_bound=72.3%
n=2000, k=384, y=3, x=3, tma_backend_bound=67.4%
n=3000, k=96, y=3, x=3, tma_backend_bound=70.0%
n=3000, k=192, y=3, x=3, tma_backend_bound=64.1%
n=3000, k=384, y=3, x=3, tma_backend_bound=55.5%
n=4000, k=96, y=3, x=3, tma_backend_bound=67.5%
n=4000, k=192, y=3, x=3, tma_backend_bound=58.7%
n=4000, k=384, y=3, x=3, tma_backend_bound=50.2%
n=5000, k=96, y=3, x=3, tma_backend_bound=60.4%
n=5000, k=192, y=3, x=3, tma_backend_bound=52.5%
n=5000, k=384, y=3, x=3, tma_backend_bound=43.6%
n=1000, k=96, y=4, x=2, tma_backend_bound=83.8%
n=1000, k=192, y=4, x=2, tma_backend_bound=80.2%
n=1000, k=384, y=4, x=2, tma_backend_bound=77.0%
n=2000, k=96, y=4, x=2, tma_backend_bound=75.2%
n=2000, k=192, y=4, x=2, tma_backend_bound=70.7%
n=2000, k=384, y=4, x=2, tma_backend_bound=67.2%
n=3000, k=96, y=4, x=2, tma_backend_bound=69.6%
n=3000, k=192, y=4, x=2, tma_backend_bound=62.4%
n=3000, k=384, y=4, x=2, tma_backend_bound=51.8%
n=4000, k=96, y=4, x=2, tma_backend_bound=66.6%
n=4000, k=192, y=4, x=2, tma_backend_bound=57.2%
n=4000, k=384, y=4, x=2, tma_backend_bound=47.1%
n=5000, k=96, y=4, x=2, tma_backend_bound=59.6%
n=5000, k=192, y=4, x=2, tma_backend_bound=49.4%
n=5000, k=384, y=4, x=2, tma_backend_bound=42.6%
