n,k,y,x,l2_request.all,l2_request.miss,miss_to_all_ratio
1000,24,2,1,149270087.0,103838127.0,69.0
1000,24,2,2,146086036.0,104951407.0,71.0
1000,24,2,3,146608087.0,105211385.0,71.0
1000,24,2,4,144802353.0,105158843.0,72.0
1000,24,3,1,151123572.0,105772847.0,69.0
1000,24,3,2,143189709.0,104298500.0,72.0
1000,24,3,3,143715528.0,104882269.0,72.0
1000,48,2,1,168315197.0,104993060.0,62.0
1000,48,2,2,159173430.0,105288338.0,66.0
1000,48,2,3,159777673.0,105469659.0,66.0
1000,48,2,4,156998888.0,106280174.0,67.0
1000,48,3,1,163995342.0,105634377.0,64.0
1000,48,3,2,154132086.0,104860259.0,68.0
1000,48,3,3,154815404.0,106030605.0,68.0
1000,96,2,1,224825950.0,131151667.0,58.0
1000,96,2,2,194817079.0,119005582.0,61.0
1000,96,2,3,187317840.0,115839290.0,61.0
1000,96,2,4,180303522.0,113612648.0,63.0
1000,96,3,1,216079978.0,131926086.0,61.0
1000,96,3,2,184353710.0,118826047.0,64.0
1000,96,3,3,177120096.0,115612450.0,65.0
1000,192,2,1,314441447.0,166001021.0,52.0
1000,192,2,2,255128328.0,135968687.0,53.0
1000,192,2,3,239805663.0,127114911.0,53.0
1000,192,2,4,225983430.0,121267420.0,53.0
1000,192,3,1,296041679.0,166782910.0,56.0
1000,192,3,2,234944988.0,135733105.0,57.0
1000,192,3,3,218523781.0,127069004.0,58.0
1000,384,2,1,492718212.0,226030819.0,45.0
1000,384,2,2,378926107.0,167812487.0,44.0
1000,384,2,3,343797837.0,148211651.0,43.0
1000,384,2,4,317035848.0,136800125.0,43.0
1000,384,3,1,455646914.0,227179276.0,49.0
1000,384,3,2,335356204.0,165930336.0,49.0
1000,384,3,3,301704045.0,147939319.0,49.0
1000,768,2,1,851915215.0,347454861.0,40.0
1000,768,2,2,617520849.0,226432487.0,36.0
1000,768,2,3,551105952.0,190090449.0,34.0
1000,768,2,4,498964420.0,167519781.0,33.0
1000,768,3,1,774450999.0,347686057.0,44.0
1000,768,3,2,536157977.0,226823373.0,42.0
1000,768,3,3,467099482.0,189534793.0,40.0
2000,24,2,1,224750451.0,109875877.0,48.0
2000,24,2,2,205227210.0,111064111.0,54.0
2000,24,2,3,208562593.0,117685910.0,56.0
2000,24,2,4,199537961.0,117530707.0,58.0
2000,24,3,1,216251395.0,110423484.0,51.0
2000,24,3,2,195085346.0,110837230.0,56.0
2000,24,3,3,197818818.0,117039797.0,59.0
2000,48,2,1,336056552.0,169132586.0,50.0
2000,48,2,2,271754408.0,141316197.0,52.0
2000,48,2,3,261168420.0,135751313.0,51.0
2000,48,2,4,245429259.0,128786920.0,52.0
2000,48,3,1,317280570.0,170094566.0,53.0
2000,48,3,2,251691661.0,141142278.0,56.0
2000,48,3,3,240762377.0,135749065.0,56.0
2000,96,2,1,515737336.0,235122657.0,45.0
2000,96,2,2,391354453.0,172025771.0,43.0
2000,96,2,3,365115773.0,156949716.0,42.0
2000,96,2,4,335870451.0,144410754.0,42.0
2000,96,3,1,476904113.0,235901980.0,49.0
2000,96,3,2,352073464.0,172476516.0,48.0
2000,96,3,3,323543319.0,156846080.0,48.0
2000,192,2,1,874479558.0,355169121.0,40.0
2000,192,2,2,632172492.0,233255658.0,36.0
2000,192,2,3,571722192.0,198757674.0,34.0
2000,192,2,4,517156879.0,175337331.0,33.0
